type,year,total
gsss,2000,2189
gsss,2001,2845
gsss,2002,3444
gsss,2003,4087
gsss,2004,4777
gsss,2005,4762
gsss,2006,5699
gsss,2007,7488
gsss,2008,10148
gsss,2009,11508
gsss,2010,11355
gsss,2011,10395
gsss,2012,9768
gsss,2013,10165
gsss,2014,11561
gsss,2015,13430
gsss,2016,14989
gsss,2017,17398
gsss,2018,20018
gsss,2019,22841
fees,2000,1867
fees,2001,2603
fees,2002,2772
fees,2003,3170
fees,2004,3404
fees,2005,3807
fees,2006,4233
fees,2007,4789
fees,2008,5639
fees,2009,6850
fees,2010,7176
fees,2011,7106
fees,2012,6804
fees,2013,7069
fees,2014,8029
fees,2015,9046
fees,2016,10591
fees,2017,12666
fees,2018,14999
fees,2019,17283
