state,year,education_exports
NSW,1999,1308
NSW,2000,1505
NSW,2001,2016
NSW,2002,2303
NSW,2003,2818
NSW,2004,3249
NSW,2005,3416
NSW,2006,3889
NSW,2007,4913
NSW,2008,6143
NSW,2009,6722
NSW,2010,6867
NSW,2011,6460
NSW,2012,6169
NSW,2013,6336
NSW,2014,7107
NSW,2015,8189
NSW,2016,9349
NSW,2017,11283
NSW,2018,13039
NSW,2019,14617
VIC,1999,1014
VIC,2000,1166
VIC,2001,1563
VIC,2002,1785
VIC,2003,2124
VIC,2004,2419
VIC,2005,2543
VIC,2006,3043
VIC,2007,3697
VIC,2008,4789
VIC,2009,5681
VIC,2010,5560
VIC,2011,5227
VIC,2012,4965
VIC,2013,5351
VIC,2014,6223
VIC,2015,7311
VIC,2016,8324
VIC,2017,9854
VIC,2018,11775
VIC,2019,13739
QLD,1999,583
QLD,2000,671
QLD,2001,899
QLD,2002,1027
QLD,2003,1163
QLD,2004,1266
QLD,2005,1294
QLD,2006,1482
QLD,2007,1770
QLD,2008,2393
QLD,2009,2979
QLD,2010,3089
QLD,2011,2878
QLD,2012,2689
QLD,2013,2755
QLD,2014,3173
QLD,2015,3479
QLD,2016,3838
QLD,2017,4367
QLD,2018,5029
QLD,2019,5775
SA,1999,171
SA,2000,196
SA,2001,263
SA,2002,301
SA,2003,340
SA,2004,425
SA,2005,479
SA,2006,574
SA,2007,707
SA,2008,908
SA,2009,1094
SA,2010,1087
SA,2011,1061
SA,2012,975
SA,2013,1005
SA,2014,1099
SA,2015,1224
SA,2016,1408
SA,2017,1540
SA,2018,1809
SA,2019,2145
WA,1999,377
WA,2000,434
WA,2001,581
WA,2002,663
WA,2003,690
WA,2004,679
WA,2005,691
WA,2006,766
WA,2007,972
WA,2008,1256
WA,2009,1486
WA,2010,1452
WA,2011,1409
WA,2012,1320
WA,2013,1339
WA,2014,1423
WA,2015,1607
WA,2016,1808
WA,2017,1874
WA,2018,1915
WA,2019,2154
TAS,1999,33
TAS,2000,38
TAS,2001,51
TAS,2002,58
TAS,2003,69
TAS,2004,84
TAS,2005,93
TAS,2006,108
TAS,2007,127
TAS,2008,149
TAS,2009,163
TAS,2010,172
TAS,2011,176
TAS,2012,179
TAS,2013,183
TAS,2014,190
TAS,2015,242
TAS,2016,273
TAS,2017,376
TAS,2018,539
TAS,2019,678
NT,1999,10
NT,2000,11
NT,2001,15
NT,2002,17
NT,2003,16
NT,2004,13
NT,2005,12
NT,2006,16
NT,2007,17
NT,2008,25
NT,2009,33
NT,2010,42
NT,2011,47
NT,2012,53
NT,2013,58
NT,2014,76
NT,2015,90
NT,2016,84
NT,2017,88
NT,2018,118
NT,2019,145
ACT,1999,74
ACT,2000,84
ACT,2001,113
ACT,2002,129
ACT,2003,148
ACT,2004,166
ACT,2005,162
ACT,2006,183
ACT,2007,214
ACT,2008,273
ACT,2009,344
ACT,2010,413
ACT,2011,437
ACT,2012,445
ACT,2013,459
ACT,2014,555
ACT,2015,595
ACT,2016,707
ACT,2017,880
ACT,2018,1011
ACT,2019,1084
