countries,year,education_exports
China,1998,117
China,1999,178
China,2000,299
China,2001,597
China,2002,937
China,2003,"1,314"
China,2004,"1,713"
China,2005,"1,979"
China,2006,"2,287"
China,2007,"2,789"
China,2008,"3,615"
China,2009,"4,204"
China,2010,"4,618"
China,2011,"4,684"
China,2012,"4,545"
China,2013,"4,739"
China,2014,"5,207"
China,2015,"6,015"
China,2016,"8,097"
China,2017,"10,020"
China,2018,"11,711"
China,2019,"12,655"
India,1998,203
India,1999,268
India,2000,300
India,2001,339
India,2002,306
India,2003,390
India,2004,605
India,2005,821
India,2006,"1,057"
India,2007,"1,651"
India,2008,"2,549"
India,2009,"3,271"
India,2010,"2,994"
India,2011,"2,271"
India,2012,"1,635"
India,2013,"1,459"
India,2014,"1,987"
India,2015,"2,601"
India,2016,"2,885"
India,2017,"3,431"
India,2018,"4,573"
India,2019,"6,403"
Nepal,1998,32
Nepal,1999,40
Nepal,2000,45
Nepal,2001,52
Nepal,2002,46
Nepal,2003,39
Nepal,2004,35
Nepal,2005,36
Nepal,2006,59
Nepal,2007,176
Nepal,2008,402
Nepal,2009,631
Nepal,2010,638
Nepal,2011,596
Nepal,2012,529
Nepal,2013,510
Nepal,2014,651
Nepal,2015,796
Nepal,2016,871
Nepal,2017,"1,304"
Nepal,2018,"2,137"
Nepal,2019,"2,973"
Vietnam,1998,93
Vietnam,1999,117
Vietnam,2000,130
Vietnam,2001,140
Vietnam,2002,132
Vietnam,2003,132
Vietnam,2004,149
Vietnam,2005,164
Vietnam,2006,205
Vietnam,2007,291
Vietnam,2008,492
Vietnam,2009,731
Vietnam,2010,864
Vietnam,2011,901
Vietnam,2012,845
Vietnam,2013,962
Vietnam,2014,"1,152"
Vietnam,2015,"1,230"
Vietnam,2016,"1,169"
Vietnam,2017,"1,254"
Vietnam,2018,"1,343"
Vietnam,2019,"1,449"
