university,state,onshore,offshore,total
Charles Sturt University,NSW,8460,1925,10385
Macquarie University,NSW,9690,2534,12224
Southern Cross University,NSW,4563,1207,5770
The University of New England,NSW,1039,770,1809
The University of Newcastle,NSW,4459,1370,5829
The University of Sydney,NSW,29592,503,30095
University of New South Wales,NSW,17081,7771,24852
University of Technology Sydney,NSW,13826,1748,15574
University of Wollongong,NSW,7846,8171,16017
Western Sydney University,NSW,6458,1711,8169
Deakin University,VIC,14863,1281,16144
Federation University Australia,VIC,9277,995,10272
La Trobe University,VIC,8832,1753,10585
Monash University,VIC,28446,12954,41400
RMIT University,VIC,18695,15155,33850
Swinburne University of Technology,VIC,5715,5013,10728
The University of Melbourne,VIC,23056,5561,28617
University of Divinity,VIC,126,32,158
Victoria University,VIC,6609,5835,12444
Bond University,QLD,2858,335,3193
CQUniversity,QLD,8608,17,8625
Griffith University,QLD,6667,2349,9016
James Cook University,QLD,3312,3280,6592
Queensland University of Technology,QLD,9432,337,9769
The University of Queensland,QLD,19924,288,20212
University of Southern Queensland,QLD,2274,523,2797
University of the Sunshine Coast,QLD,3416,345,3761
Curtin University ,WA,5959,7414,13373
Edith Cowan University,WA,5880,955,6835
Murdoch University,WA,2988,7104,10092
The University of Notre Dame Australia,WA,196,20,216
The University of Western Australia,WA,3875,1512,5387
Flinders University,SA,3227,1904,5131
The University of Adelaide,SA,8682,296,8978
Torrens University Australia,SA,8829,786,9615
University of South Australia,SA,6424,323,6747
University of Tasmania,TAS,6644,1444,8088
Charles Darwin University,NT,1760,136,1896
The Australian National University,ACT,9741,763,10504
University of Canberra,ACT,2827,657,3484
Australian Catholic University,Multistate,4361,241,4602
