Country Name,Year
Aruba,
Afghanistan,11.16399956
Angola,6.774000168
Albania,12.81299973
Andorra,
Arab World,10.19147219
United Arab Emirates,2.447000027
Argentina,10.43599987
Armenia,16.625
American Samoa,
Antigua and Barbuda,
Australia,5.328000069
Austria,4.778999805
Azerbaijan,5.960000038
Burundi,1.407999992
Belgium,5.691999912
Benin,2.023000002
Burkina Faso,6.414000034
Bangladesh,4.151000023
Bulgaria,3.849999905
Bahrain,0.763000011
"Bahamas, The",11.27000046
Bosnia and Herzegovina,18.43799973
Belarus,4.625
Belize,6.356999874
Bermuda,
Bolivia,3.450000048
Brazil,11.9659996
Barbados,10.93799973
Brunei Darussalam,9.043999672
Bhutan,2.390000105
Botswana,18.72100067
Central African Republic,3.696000099
Canada,5.412000179
Central Europe and the Baltics,3.641847787
Switzerland,4.848999977
Channel Islands,7.534999847
Chile,7.096000195
China,4.369999886
Cote d'Ivoire,3.423000097
Cameroon,3.427999973
"Congo, Dem. Rep.",4.25
"Congo, Rep.",9.281999588
Colombia,9.744000435
Comoros,4.366000175
Cabo Verde,12.31799984
Costa Rica,12.73400021
Caribbean small states,8.092526874
Cuba,1.590000033
Curacao,
Cayman Islands,
Cyprus,7.234000206
Czech Republic,1.909999967
Germany,3.025000095
Djibouti,10.32299995
Dominica,
Denmark,4.846000195
Dominican Republic,5.919000149
Algeria,11.52499962
East Asia & Pacific (excluding high income),3.951412886
Early-demographic dividend,5.84416443
East Asia & Pacific,3.897888367
Europe & Central Asia (excluding high income),7.376411121
Europe & Central Asia,6.631571683
Ecuador,4.237999916
"Egypt, Arab Rep.",10.12800026
Euro area,7.25474786
Eritrea,5.171999931
Spain,13.01500034
Estonia,5.379000187
Ethiopia,2.082000017
European Union,6.445279815
Fragile and conflict affected situations,6.994557176
Finland,6.65899992
Fiji,4.079999924
France,8.338000298
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,20.14500046
United Kingdom,4.114999771
Georgia,14.74199963
Ghana,4.508999825
Gibraltar,
Guinea,4.329999924
"Gambia, The",9.107000351
Guinea-Bissau,2.486999989
Equatorial Guinea,6.46999979
Greece,15.47399998
Grenada,
Greenland,
Guatemala,2.506999969
Guam,5.675000191
Guyana,11.81299973
High income,4.811218412
"Hong Kong SAR, China",4.264999866
Honduras,5.229000092
Heavily indebted poor countries (HIPC),4.477224919
Croatia,7.113999844
Haiti,13.91499996
Hungary,3.460000038
IBRD only,5.801744919
IDA & IBRD total,5.552639069
IDA total,4.720010308
IDA blend,5.425470438
Indonesia,4.835000038
IDA only,4.410047534
Isle of Man,
India,5.399000168
Not classified,
Ireland,5.157999992
"Iran, Islamic Rep.",11.18099976
Iraq,12.82499981
Iceland,3.221999884
Israel,3.779000044
Italy,9.836000443
Jamaica,7.949999809
Jordan,14.61299992
Japan,2.338999987
Kazakhstan,4.551000118
Kenya,2.645999908
Kyrgyz Republic,6.643000126
Cambodia,0.69599998
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",4.597000122
Kuwait,2.302999973
Latin America & Caribbean (excluding high income),8.208613324
Lao PDR,0.601999998
Lebanon,6.276000023
Liberia,2.724999905
Libya,18.62599945
St. Lucia,20.14999962
Latin America & Caribbean,8.141540487
Least developed countries: UN classification,4.363387322
Low income,4.913977185
Liechtenstein,
Sri Lanka,4.177999973
Lower middle income,5.132245186
Low & middle income,5.55321215
Lesotho,22.83099937
Late-demographic dividend,5.08484507
Lithuania,6.261000156
Luxembourg,5.243999958
Latvia,6.532999992
"Macao SAR, China",2.505000114
St. Martin (French part),
Morocco,8.954999924
Monaco,
Moldova,5.364999771
Madagascar,1.832999945
Maldives,6.434000015
Middle East & North Africa,9.636612298
Mexico,3.654000044
Marshall Islands,
Middle income,5.619500691
North Macedonia,16.43899918
Mali,7.34100008
Malta,3.367000103
Myanmar,1.710999966
Middle East & North Africa (excluding high income),11.29630708
Montenegro,14.75599957
Mongolia,5.946000099
Northern Mariana Islands,
Mozambique,3.242000103
Mauritania,9.61400032
Mauritius,6.68900013
Malawi,5.673999786
Malaysia,3.378000021
North America,4.03348776
Namibia,20.58699989
New Caledonia,12.78100014
Niger,0.485000014
Nigeria,7.960000038
Nicaragua,7.355000019
Netherlands,2.974999905
Norway,3.309999943
Nepal,1.465999961
Nauru,
New Zealand,4.013000011
OECD members,5.365522499
Oman,2.546000004
Other small states,9.214162667
Pakistan,4.445000172
Panama,3.825000048
Peru,3.196000099
Philippines,2.164000034
Palau,
Papua New Guinea,2.486999989
Poland,3.039999962
Pre-demographic dividend,5.679897304
Puerto Rico,8.413999557
"Korea, Dem. People’s Rep.",2.763999939
Portugal,5.933000088
Paraguay,4.835999966
West Bank and Gaza,26.09799957
Pacific island small states,2.943942333
Post-demographic dividend,5.030064089
French Polynesia,11.93400002
Qatar,0.082000002
Romania,3.921999931
Russian Federation,4.425000191
Rwanda,1.041000009
South Asia,5.140202804
Saudi Arabia,5.857999802
Sudan,16.61800003
Senegal,6.676000118
Singapore,4.380000114
Solomon Islands,0.541999996
Sierra Leone,4.440999985
